       19.07 real        19.05 user         0.12 sys
       13.04 real        13.02 user         0.08 sys
       13.88 real        13.85 user         0.09 sys
        4.02 real         4.00 user         0.03 sys
        1.44 real         1.42 user         0.02 sys
        3.05 real         3.03 user         0.03 sys
       14.74 real        14.71 user         0.10 sys
        2.37 real         2.35 user         0.02 sys
       35.88 real        35.83 user         0.20 sys
       11.51 real        11.46 user         0.09 sys
       12.70 real        12.66 user         0.09 sys
Command terminated abnormally.
    22901.16 real      7148.50 user      5326.35 sys
        2.37 real         1.97 user         0.02 sys
       13.51 real        13.46 user         0.09 sys
        5.63 real         5.58 user         0.05 sys
        5.56 real         5.54 user         0.04 sys
        5.06 real         5.02 user         0.04 sys
       12.37 real        12.34 user         0.08 sys
        8.73 real         8.70 user         0.06 sys
        2.59 real         2.57 user         0.02 sys
        5.79 real         5.69 user         0.05 sys
       11.43 real        11.39 user         0.08 sys
        4.34 real         4.24 user         0.04 sys
       49.83 real        49.69 user         0.24 sys
        9.77 real         9.74 user         0.07 sys
        8.45 real         8.43 user         0.06 sys
       27.66 real        27.61 user         0.16 sys
       13.14 real        13.11 user         0.08 sys
       16.90 real        16.85 user         0.11 sys
        2.34 real         2.33 user         0.02 sys
        4.57 real         4.55 user         0.04 sys
        1.72 real         1.70 user         0.02 sys
       19.19 real        19.13 user         0.13 sys
       13.34 real        13.31 user         0.09 sys
       13.29 real        13.26 user         0.09 sys
        2.37 real         2.36 user         0.02 sys
        6.26 real         6.24 user         0.05 sys
        6.95 real         6.93 user         0.05 sys
       10.60 real        10.56 user         0.08 sys
       13.48 real        13.46 user         0.08 sys
       13.53 real        13.50 user         0.08 sys
       17.24 real        17.18 user         0.11 sys
       12.29 real        12.26 user         0.08 sys
        5.02 real         5.01 user         0.04 sys
        2.63 real         2.62 user         0.03 sys
       10.46 real        10.43 user         0.07 sys
       10.22 real        10.19 user         0.06 sys
        5.68 real         5.66 user         0.04 sys
        6.85 real         6.83 user         0.05 sys
        6.42 real         6.40 user         0.05 sys
        9.13 real         9.10 user         0.06 sys
        7.98 real         7.96 user         0.06 sys
        6.52 real         6.50 user         0.05 sys
       16.09 real        16.05 user         0.10 sys
       16.54 real        16.49 user         0.11 sys
        5.29 real         5.27 user         0.04 sys
        4.53 real         4.50 user         0.04 sys
       11.98 real        11.95 user         0.07 sys
       10.54 real        10.51 user         0.08 sys
        6.13 real         6.12 user         0.04 sys
        5.30 real         5.28 user         0.04 sys
       16.51 real        16.48 user         0.09 sys
        6.00 real         5.98 user         0.05 sys
        5.17 real         5.15 user         0.04 sys
       17.70 real        17.65 user         0.11 sys
       17.04 real        17.01 user         0.10 sys
       11.34 real        11.31 user         0.08 sys
       11.92 real        11.86 user         0.10 sys
        6.15 real         6.13 user         0.04 sys
        7.54 real         7.51 user         0.05 sys
        2.77 real         2.76 user         0.02 sys
        4.80 real         4.78 user         0.04 sys
        0.42 real         0.40 user         0.01 sys
       10.50 real        10.47 user         0.07 sys
        1.88 real         1.86 user         0.03 sys
        4.87 real         4.85 user         0.04 sys
       16.01 real        15.96 user         0.10 sys
        5.38 real         5.36 user         0.04 sys
        7.88 real         7.86 user         0.05 sys
       11.84 real        11.81 user         0.07 sys
       11.26 real        11.23 user         0.07 sys
       13.80 real        13.76 user         0.08 sys
        4.60 real         4.58 user         0.04 sys
       17.48 real        17.45 user         0.10 sys
        3.94 real         3.92 user         0.03 sys
        5.38 real         5.36 user         0.04 sys
        8.04 real         8.01 user         0.06 sys
        4.01 real         3.99 user         0.03 sys
        8.25 real         8.23 user         0.05 sys
       48.47 real        48.44 user         0.23 sys
       12.50 real        12.48 user         0.07 sys
        9.93 real         9.91 user         0.06 sys
        3.34 real         3.32 user         0.03 sys
        6.95 real         6.93 user         0.04 sys
        7.07 real         7.05 user         0.05 sys
        0.91 real         0.89 user         0.01 sys
       12.21 real        12.18 user         0.07 sys
       11.57 real        11.54 user         0.07 sys
       10.90 real        10.88 user         0.07 sys
        8.23 real         8.21 user         0.05 sys
