        7.70 real         7.68 user         0.06 sys
       45.44 real        45.38 user         0.23 sys
       12.90 real        12.87 user         0.07 sys
       59.48 real        59.44 user         0.25 sys
       14.79 real        14.77 user         0.08 sys
       20.94 real        20.91 user         0.11 sys
       17.28 real        17.24 user         0.10 sys
        3.51 real         3.49 user         0.03 sys
       40.47 real        40.45 user         0.20 sys
       18.53 real        18.49 user         0.11 sys
       56.92 real        56.88 user         0.25 sys
       33.50 real        33.45 user         0.17 sys
       13.02 real        12.98 user         0.08 sys
       38.20 real        38.16 user         0.18 sys
      129.29 real       129.23 user         0.45 sys
       67.76 real        67.64 user         0.35 sys
       20.30 real        20.27 user         0.11 sys
       17.14 real        17.11 user         0.10 sys
        5.68 real         5.64 user         0.05 sys
     1429.23 real      1429.00 user         3.22 sys
        5.64 real         5.62 user         0.04 sys
       18.51 real        18.47 user         0.11 sys
        5.19 real         5.17 user         0.04 sys
        5.25 real         5.23 user         0.04 sys
        5.31 real         5.30 user         0.04 sys
       13.69 real        13.65 user         0.09 sys
        3.42 real         3.40 user         0.03 sys
       57.67 real        57.63 user         0.25 sys
       43.34 real        43.30 user         0.19 sys
       26.96 real        26.93 user         0.14 sys
       30.63 real        30.59 user         0.16 sys
        6.80 real         6.78 user         0.05 sys
       44.88 real        44.82 user         0.20 sys
       10.02 real        10.00 user         0.06 sys
       23.52 real        23.48 user         0.12 sys
       10.69 real        10.67 user         0.06 sys
       19.40 real        19.35 user         0.12 sys
       60.06 real        60.02 user         0.26 sys
       10.52 real        10.50 user         0.07 sys
        0.83 real         0.81 user         0.01 sys
        6.94 real         6.92 user         0.05 sys
        9.83 real         9.80 user         0.06 sys
        6.88 real         6.86 user         0.05 sys
       14.96 real        14.94 user         0.08 sys
       16.52 real        16.50 user         0.10 sys
       19.20 real        19.17 user         0.10 sys
        8.57 real         8.54 user         0.06 sys
       17.69 real        17.66 user         0.10 sys
        5.91 real         5.90 user         0.04 sys
        7.95 real         7.93 user         0.06 sys
      228.53 real       228.44 user         0.71 sys
       11.19 real        11.18 user         0.06 sys
       20.96 real        20.92 user         0.12 sys
       15.04 real        15.01 user         0.09 sys
        2.77 real         2.75 user         0.03 sys
        9.44 real         9.41 user         0.07 sys
       30.32 real        30.28 user         0.16 sys
       23.17 real        23.14 user         0.13 sys
       17.76 real        17.74 user         0.10 sys
       58.20 real        58.16 user         0.26 sys
        1.40 real         1.39 user         0.02 sys
        5.17 real         5.15 user         0.04 sys
       17.30 real        17.25 user         0.10 sys
        4.19 real         4.17 user         0.03 sys
       16.49 real        16.45 user         0.09 sys
       14.19 real        14.16 user         0.09 sys
       13.62 real        13.59 user         0.08 sys
       19.95 real        19.92 user         0.11 sys
       21.10 real        21.05 user         0.12 sys
        5.59 real         5.57 user         0.04 sys
       19.12 real        19.07 user         0.11 sys
       20.25 real        20.21 user         0.11 sys
        9.03 real         9.00 user         0.06 sys
       11.78 real        11.75 user         0.07 sys
        6.32 real         6.30 user         0.04 sys
       88.89 real        88.83 user         0.37 sys
        7.56 real         7.54 user         0.05 sys
        9.13 real         9.10 user         0.06 sys
       18.76 real        18.72 user         0.11 sys
       56.50 real        56.47 user         0.24 sys
       17.88 real        17.85 user         0.09 sys
       22.74 real        22.69 user         0.14 sys
       28.62 real        28.58 user         0.14 sys
       29.15 real        29.09 user         0.16 sys
       21.16 real        21.13 user         0.11 sys
       13.53 real        13.51 user         0.07 sys
       31.71 real        31.67 user         0.15 sys
       12.24 real        12.22 user         0.08 sys
        9.84 real         9.82 user         0.06 sys
       17.22 real        17.19 user         0.10 sys
        2.47 real         2.45 user         0.02 sys
      153.98 real       153.92 user         0.54 sys
        7.30 real         7.27 user         0.05 sys
       17.83 real        17.79 user         0.11 sys
       62.69 real        62.65 user         0.26 sys
       52.22 real        52.17 user         0.24 sys
        5.14 real         5.12 user         0.04 sys
       14.09 real        14.06 user         0.09 sys
        8.79 real         8.77 user         0.05 sys
       20.73 real        20.69 user         0.11 sys
