        4.58 real         8.90 user         0.07 sys
        3.74 real         7.21 user         0.06 sys
        4.30 real         8.30 user         0.06 sys
        5.63 real        11.11 user         0.08 sys
        1.25 real         2.27 user         0.03 sys
        3.48 real         6.68 user         0.06 sys
        3.04 real         5.73 user         0.05 sys
        4.75 real         9.21 user         0.07 sys
        2.79 real         5.21 user         0.05 sys
       11.98 real        23.60 user         0.15 sys
        2.05 real         3.84 user         0.04 sys
        5.41 real        10.50 user         0.08 sys
        8.27 real        16.31 user         0.14 sys
        9.71 real        19.20 user         0.15 sys
        1.90 real         3.55 user         0.04 sys
        3.10 real         5.93 user         0.05 sys
        2.62 real         5.16 user         0.06 sys
        8.64 real        16.93 user         0.11 sys
       12.72 real        24.56 user         0.19 sys
        2.64 real         4.94 user         0.05 sys
        2.51 real         4.57 user         0.06 sys
        2.50 real         4.68 user         0.05 sys
        3.39 real         6.46 user         0.06 sys
        1.89 real         3.51 user         0.04 sys
        3.77 real         7.31 user         0.08 sys
        7.96 real        15.54 user         0.13 sys
        5.55 real        10.34 user         0.08 sys
        2.45 real         4.48 user         0.04 sys
        6.40 real        12.49 user         0.08 sys
        0.53 real         0.83 user         0.02 sys
        6.56 real        12.82 user         0.08 sys
        3.58 real         6.90 user         0.05 sys
        8.05 real        15.75 user         0.10 sys
        0.67 real         1.12 user         0.02 sys
       20.64 real        40.80 user         0.24 sys
       13.90 real        27.45 user         0.19 sys
        0.93 real         1.62 user         0.02 sys
        3.52 real         6.90 user         0.05 sys
        3.66 real         7.01 user         0.06 sys
        9.57 real        18.80 user         0.10 sys
        3.81 real         7.41 user         0.07 sys
        2.97 real         5.82 user         0.05 sys
        4.54 real         8.95 user         0.07 sys
        2.44 real         4.61 user         0.04 sys
        1.16 real         2.10 user         0.03 sys
        5.64 real        10.95 user         0.07 sys
       13.70 real        26.96 user         0.16 sys
        4.06 real         7.77 user         0.07 sys
        7.08 real        13.81 user         0.12 sys
        2.29 real         4.27 user         0.04 sys
        0.81 real         1.38 user         0.02 sys
        3.36 real         6.40 user         0.05 sys
       18.21 real        35.93 user         0.17 sys
        6.10 real        12.01 user         0.10 sys
        6.49 real        12.58 user         0.09 sys
        9.96 real        19.49 user         0.12 sys
        5.59 real        10.89 user         0.08 sys
        4.31 real         8.29 user         0.07 sys
        9.40 real        18.50 user         0.13 sys
        3.02 real         5.73 user         0.05 sys
        2.17 real         4.17 user         0.04 sys
        6.66 real        13.08 user         0.10 sys
       11.34 real        22.38 user         0.14 sys
        2.50 real         4.60 user         0.06 sys
        4.95 real         9.58 user         0.07 sys
       10.01 real        18.50 user         0.12 sys
        5.67 real        11.01 user         0.08 sys
        3.15 real         6.20 user         0.06 sys
        6.88 real        13.52 user         0.09 sys
        4.79 real         9.30 user         0.07 sys
        4.39 real         8.42 user         0.06 sys
        4.31 real         8.34 user         0.06 sys
        8.97 real        17.30 user         0.11 sys
        3.35 real         6.60 user         0.06 sys
        5.49 real        10.70 user         0.08 sys
       10.40 real        19.89 user         0.12 sys
        2.15 real         4.03 user         0.04 sys
        5.83 real        11.06 user         0.10 sys
        2.33 real         4.39 user         0.05 sys
        8.64 real        16.86 user         0.11 sys
        1.69 real         3.29 user         0.04 sys
        9.91 real        19.44 user         0.14 sys
        4.79 real         9.46 user         0.08 sys
        8.68 real        17.20 user         0.12 sys
        7.13 real        14.02 user         0.11 sys
        4.30 real         8.30 user         0.07 sys
        9.98 real        19.59 user         0.12 sys
        1.48 real         2.71 user         0.04 sys
       21.51 real        42.57 user         0.21 sys
        3.05 real         6.00 user         0.06 sys
        1.99 real         3.71 user         0.04 sys
        1.63 real         3.02 user         0.04 sys
        2.46 real         4.63 user         0.05 sys
        4.08 real         7.86 user         0.06 sys
        2.78 real         5.39 user         0.05 sys
        2.49 real         4.76 user         0.05 sys
        5.34 real        10.38 user         0.08 sys
       12.43 real        24.48 user         0.18 sys
       14.55 real        28.53 user         0.16 sys
        4.35 real         8.55 user         0.07 sys
