       38.99 real        77.39 user         0.33 sys
       13.24 real        26.07 user         0.15 sys
Command terminated abnormally.
    15692.19 real     13121.03 user      3303.72 sys
       70.15 real       138.77 user         0.64 sys
       18.36 real        36.29 user         0.22 sys
       15.02 real        29.78 user         0.20 sys
Command terminated abnormally.
     2026.86 real      4002.66 user         7.01 sys
      823.78 real      1636.13 user         3.23 sys
       15.32 real        30.22 user         0.16 sys
