Generation 62, best fitness is 100000
Generation 3, best fitness is 100000
Core best is 1074
Generation 10, best fitness is 100000
Generation 51, best fitness is 100000
Generation 23, best fitness is 100000
Generation 37, best fitness is 100000
Generation 32, best fitness is 100000
Generation 42, best fitness is 100000
Generation 0, best fitness is 100000
Generation 9, best fitness is 100000
Generation 16, best fitness is 100000
Generation 15, best fitness is 100000
Generation 39, best fitness is 100000
Generation 15, best fitness is 100000
Generation 25, best fitness is 100000
Generation 23, best fitness is 100000
Generation 19, best fitness is 100000
Generation 40, best fitness is 100000
Generation 49, best fitness is 100000
Generation 1060, best fitness is 100000
Generation 39, best fitness is 100000
Generation 64, best fitness is 100000
Generation 30, best fitness is 100000
Generation 20, best fitness is 100000
Generation 20, best fitness is 100000
Generation 20, best fitness is 100000
Generation 129, best fitness is 100000
Generation 7, best fitness is 100000
Generation 59, best fitness is 100000
Generation 11, best fitness is 100000
Generation 39, best fitness is 100000
Generation 14, best fitness is 100000
Generation 43, best fitness is 100000
Generation 38, best fitness is 100000
Generation 23, best fitness is 100000
Generation 26, best fitness is 100000
Generation 33, best fitness is 100000
Generation 12, best fitness is 100000
Generation 34, best fitness is 100000
Generation 13, best fitness is 100000
Generation 28, best fitness is 100000
Generation 55, best fitness is 100000
Generation 34, best fitness is 100000
Generation 40, best fitness is 100000
Generation 10, best fitness is 100000
Generation 20, best fitness is 100000
Generation 10, best fitness is 100000
Generation 25, best fitness is 100000
Generation 10, best fitness is 100000
Generation 30, best fitness is 100000
Generation 30, best fitness is 100000
Generation 27, best fitness is 100000
Generation 33, best fitness is 100000
Core best is 1099
Generation 42, best fitness is 100000
Generation 266, best fitness is 100000
Generation 115, best fitness is 100000
Generation 31, best fitness is 100000
Generation 72, best fitness is 100000
Generation 39, best fitness is 100000
Generation 63, best fitness is 100000
Generation 45, best fitness is 100000
Generation 13, best fitness is 100000
Generation 26, best fitness is 100000
Generation 14, best fitness is 100000
Generation 39, best fitness is 100000
Generation 11, best fitness is 100000
Generation 12, best fitness is 100000
Generation 37, best fitness is 100000
Generation 38, best fitness is 100000
Generation 106, best fitness is 100000
Generation 24, best fitness is 100000
Generation 41, best fitness is 100000
Generation 11, best fitness is 100000
Generation 25, best fitness is 100000
Generation 34, best fitness is 100000
Generation 56, best fitness is 100000
Generation 39, best fitness is 100000
Generation 64, best fitness is 100000
Generation 254, best fitness is 100000
Generation 14, best fitness is 100000
Generation 13, best fitness is 100000
Generation 52, best fitness is 100000
Generation 19, best fitness is 100000
Generation 17, best fitness is 100000
Generation 13, best fitness is 100000
Generation 70, best fitness is 100000
Generation 175, best fitness is 100000
Generation 22, best fitness is 100000
Generation 68, best fitness is 100000
Generation 41, best fitness is 100000
Generation 9, best fitness is 100000
Generation 22, best fitness is 100000
Generation 50, best fitness is 100000
Generation 26, best fitness is 100000
Generation 19, best fitness is 100000
Generation 69, best fitness is 100000
Generation 312, best fitness is 100000
Generation 41, best fitness is 100000
